unique_identifier,listing_amount,amount_funded,lender_yield,borrower_apr,listing_term,listing_monthly_payment,income_range,income_range_description,stated_monthly_income,employment_status_description,occupation,months_employed,borrower_state,borrower_city,prior_prosper_loans,prior_prosper_loans_principal_borrowed,prior_prosper_loans_principal_outstanding,prior_prosper_loans_balance_outstanding,prior_prosper_loans_cycles_billed,prior_prosper_loans_ontime_payments,prior_prosper_loans_late_cycles,prior_prosper_loan_earliest_pay_off,lender_indicator,group_indicator,TUFicoRange,dti_wprosper_loan,CoBorrowerApplication,CombinedDtiwProsperLoan,CombinedStatedMonthlyIncome,prosper_rating
0,17300,17300,0.1349,0.1683,60,406.95,6,"$100,000+",11250,Employed,Other,300,TX,Littlefield,2,25000,8809.62,0,1,1,0,7,0,FALSE,760-779,0.2377,TRUE,0.2377,16250,B
1,25000,25000,0.0999,0.1325,60,543.44,6,"$100,000+",15416.6667,Employed,Construction,32,HI,Ewa Beach,2,17000,0,0,0,0,0,1,0,FALSE,760-779,0.29,TRUE,0.29,22333.3333,A
2,3500,3500,0.1179,0.1641,36,117.58,4,"$50,000-74,999",4166.6667,Employed,Teacher,11,OK,Okemah,3,15000,0,0,15,15,0,0,0,FALSE,700-719,0.0309,TRUE,0.0309,7500,B
3,5000,5000,0.0964,0.1422,36,162.84,4,"$50,000-74,999",5000,Employed,Other,6,CO,AURORA,1,3000,0,0,0,0,0,24,0,FALSE,660-679,0.1818,TRUE,0.1818,8333.3333,A
4,21795,21795,0.053,0.0795,36,666.01,6,"$100,000+",20000,Employed,Tradesman - Electrician,57,LA,Sulphur,1,19000,0,0,0,0,0,30,0,FALSE,820-850,0.1816,TRUE,0.1816,23833.3333,AA
5,2000,2000,0.1279,0.1743,36,68.15,4,"$50,000-74,999",4666.6667,Employed,Analyst,77,IL,Dunlap,1,9430,0,0,0,0,0,29,0,FALSE,720-739,0.2104,TRUE,0.2104,8000,B
6,5000,5000,0.0804,0.1258,36,159.09,6,"$100,000+",20833.3333,Employed,Doctor,94,TN,Murfreesboro,2,36500,3765.83,0,0,0,0,12,0,FALSE,740-759,0.1603,TRUE,0.1603,28333.3333,AA
7,10500,10500,0.1179,0.1509,60,237.78,4,"$50,000-74,999",5833.3333,Employed,Tradesman - Electrician,5,FL,Starke,1,10000,0,0,0,0,0,21,0,FALSE,700-719,0.1226,TRUE,0.1226,8066.6667,B
8,14000,14000,0.053,0.0795,36,427.81,5,"$75,000-99,999",6250,Employed,Nurse (LPN),136,MO,Jefferson City,1,10000,0,0,0,0,0,34,0,FALSE,800-819,0.05,TRUE,0.05,10666.6667,AA
9,15000,15000,0.1379,0.1846,36,518.44,3,"$25,000-49,999",3333.3333,Employed,Tradesman - Plumber,5,OK,Edmond,1,6000,0,0,0,0,0,19,0,FALSE,700-719,0.1659,TRUE,0.1659,9166.6667,B
10,10000,10000,0.1219,0.155,60,228.5,4,"$50,000-74,999",4583.3333,Employed,Police Officer/Correction Officer,285,FL,Ocala,1,10000,0,0,4,4,0,59,0,FALSE,800-819,0.29,TRUE,0.29,8583.3333,B
11,10000,10000,0.1219,0.155,60,228.5,4,"$50,000-74,999",4583.3333,Employed,Police Officer/Correction Officer,285,FL,Ocala,1,10000,0,0,4,4,0,59,0,FALSE,800-819,0.3112,TRUE,0.3112,8083.3333,B
12,16000,16000,0.1249,0.1712,36,542.89,6,"$100,000+",13333.3333,Employed,Professional,124,MA,Marblehead,2,27401,0,0,2,2,0,27,0,FALSE,680-699,0.4039,TRUE,0.4039,21458.3333,B
13,20500,20500,0.0974,0.1432,36,668.62,6,"$100,000+",8333.3333,Employed,Professional,224,KY,Shepherdsville,3,67000,0,0,0,0,0,6,0,FALSE,700-719,0.2597,TRUE,0.2597,14375,A
14,18000,18000,0.1028,0.1354,60,393.88,4,"$50,000-74,999",5416.6667,Self-employed,Self Employed,317,CO,BTLMT MESA,3,29600,0,0,0,0,0,24,0,FALSE,740-759,0.2512,TRUE,0.2512,13500,A
15,21000,21000,0.0929,0.1254,60,449.19,5,"$75,000-99,999",7358.3333,Employed,Teacher,12,CA,San Clemente,3,17700,0,0,0,0,0,9,0,FALSE,760-779,0.1993,TRUE,0.1993,12400,A
16,5000,5000,0.235,0.2708,60,145.29,3,"$25,000-49,999",2166.6667,Employed,Administrative Assistant,75,WI,Antigo,2,5500,0,0,0,0,0,9,0,FALSE,700-719,0.1427,TRUE,0.1427,5916.6667,D
17,13000,13000,0.1249,0.1713,36,441.1,6,"$100,000+",11250,Employed,Teacher,238,KY,Lexington,2,14000,0,0,0,0,0,17,0,FALSE,700-719,0.1832,TRUE,0.1832,15833.3333,B
18,15000,15000,0.0959,0.1416,36,488.17,6,"$100,000+",9583.3333,Self-employed,Self Employed,220,CO,Leadville,3,35000,0,0,1,1,0,5,0,FALSE,700-719,0.1821,TRUE,0.1821,13750,A
