unique_identifier,listing_amount,amount_funded,lender_yield,borrower_apr,listing_term,listing_monthly_payment,income_range,income_range_description,stated_monthly_income,employment_status,employment_status_description,occupation,months_employed,borrower_state_num,borrower_state,borrower_city,prior_prosper_loans,prior_prosper_loans_principal_borrowed,prior_prosper_loans_principal_outstanding,prior_prosper_loans_balance_outstanding,prior_prosper_loans_cycles_billed,prior_prosper_loans_ontime_payments,prior_prosper_loans_late_cycles,prior_prosper_loan_earliest_pay_off,lender_indicator,group_indicator,Fico_rating,TUFicoRange,dti_wprosper_loan,CoBorrowerApplication,CombinedDtiwProsperLoan,CombinedStatedMonthlyIncome,rating_num,prosper_rating
225,20000,20000,0.0804,0.1258,36,636.37,6,"$100,000+",12500,1,Self-employed,Food Service,253,28,NJ,LEONIA,1,15000,0,0,0,0,0,17,0,FALSE,5,740-759,0.1027,TRUE,0.1027,25000,0,AA
226,35000,35000,0.1064,0.1524,36,1156.49,6,"$100,000+",16666.6667,1,Self-employed,Realtor,94,8,FL,Sorrento,1,11500,0,0,22,22,0,21,0,FALSE,2,680-699,0.143,TRUE,0.143,23004.1667,0,A
227,13000,13000,0.0804,0.1258,36,413.64,4,"$50,000-74,999",4263.0833,0,Employed,Retail Management,199,32,OH,Uniontown,2,28000,0,0,0,0,0,18,0,FALSE,6,760-779,0.2348,TRUE,0.2348,7436.1667,0,AA
228,9500,9500,0.109,0.155,36,315.08,6,"$100,000+",12000,0,Employed,Executive,263,9,GA,Atlanta,3,100000,25087.16,0,0,0,0,5,0,FALSE,4,720-739,0.1307,TRUE,0.1307,19000,0,A
229,23500,23500,0.0909,0.1233,60,500.35,6,"$100,000+",10141.9167,0,Employed,Professional,107,5,CO,Parker,1,10000,0,0,0,0,0,5,0,FALSE,6,760-779,0.1392,TRUE,0.1392,16391.9167,0,A
230,7500,7500,0.053,0.0795,36,229.19,4,"$50,000-74,999",4311.5833,0,Employed,Tradesman - Mechanic,116,33,OK,WALTERS,1,10000,0,0,0,0,0,14,0,FALSE,8,800-819,0.1597,TRUE,0.1597,7026.5,0,AA
231,8000,8000,0.0974,0.1432,36,260.93,4,"$50,000-74,999",4562.5,0,Employed,Postal Service,66,8,FL,Miami,1,5000,0,0,0,0,0,14,0,FALSE,2,680-699,0.254,TRUE,0.254,9562.5,0,A
232,4500,4500,0.1489,0.1958,36,157.96,5,"$75,000-99,999",6916.6667,0,Employed,Truck Driver,57,25,NC,Middlesex,2,20500,0,0,1,1,0,55,0,FALSE,2,680-699,0.3814,TRUE,0.3814,10416.6667,1,B
233,16000,16000,0.1179,0.1509,60,362.33,6,"$100,000+",10833.3333,0,Employed,Professional,61,9,GA,Macon,1,8500,0,0,0,0,0,26,0,FALSE,2,680-699,0.22,TRUE,0.22,15791.6667,1,B
234,20000,20000,0.154,0.1878,60,490.62,5,"$75,000-99,999",7500,0,Employed,Tradesman - Plumber,17,4,CA,Victorville,1,5500,0,0,0,0,0,30,0,FALSE,4,720-739,0.1106,TRUE,0.1106,10000,1,C
235,8000,8000,0.053,0.0795,36,244.46,6,"$100,000+",12916.6667,0,Employed,Homemaker,54,20,MI,Cassopolis,1,10000,0,0,0,0,0,18,0,FALSE,7,780-799,0.0247,TRUE,0.0247,25833.3333,0,AA
236,20000,20000,0.1115,0.1444,60,446.41,6,"$100,000+",10416.6667,0,Employed,Nurse (RN),252,11,ID,Blackfoot,2,19000,2510.77,0,24,24,0,33,0,FALSE,3,700-719,0.1812,TRUE,0.1812,17500,0,A
237,16000,16000,0.053,0.0795,36,488.93,5,"$75,000-99,999",8000,0,Employed,Nurse (RN),91,34,OR,PORTLAND,1,10000,0,0,0,0,0,34,0,FALSE,8,800-819,0.0999,TRUE,0.0999,12000,0,AA
238,30000,30000,0.1349,0.1683,60,705.69,4,"$50,000-74,999",4666.6667,0,Employed,Professional,188,20,MI,HOLT,1,8000,0,0,1,1,0,18,0,FALSE,5,740-759,0.1546,TRUE,0.1546,13416.6667,1,B
239,18000,18000,0.0969,0.1294,60,388.59,6,"$100,000+",10833.3333,0,Employed,Skilled Labor,96,31,NY,Shirley,2,40000,0,0,0,0,0,6,0,FALSE,4,720-739,0.1171,TRUE,0.1171,25833.3333,0,AA
240,3000,3000,0.1628,0.21,36,107.38,5,"$75,000-99,999",6750,0,Employed,Other,64,4,CA,Bakersfield,1,6000,0,0,0,0,0,30,0,FALSE,1,660-679,0.028,TRUE,0.028,8150,1,C
241,10000,10000,0.1279,0.1611,60,231.6,6,"$100,000+",15000,0,Employed,Construction,78,4,CA,WILDOMAR,2,32000,0,0,0,0,0,17,0,FALSE,0,640-659,0.1044,TRUE,0.1044,16666.6667,1,B
242,35000,35000,0.053,0.0795,36,1069.53,5,"$75,000-99,999",6250,0,Employed,Teacher,119,4,CA,DALY CITY,2,40000,0,0,1,1,0,35,0,FALSE,8,800-819,0.1216,TRUE,0.1216,11916.6667,0,AA
243,20000,20000,0.0969,0.1294,60,431.76,5,"$75,000-99,999",7416.6667,0,Employed,Police Officer/Correction Officer,74,14,KS,Valley Center,2,31000,0,0,0,0,0,23,0,FALSE,6,760-779,0.2375,TRUE,0.2375,8833.3333,0,AA
244,25000,25000,0.2264,0.262,60,713.98,5,"$75,000-99,999",7083.3333,0,Employed,Tradesman - Electrician,432,32,OH,Tiffin,2,32500,0,0,0,0,0,25,0,FALSE,2,680-699,0.0778,TRUE,0.0778,42583.5,2,D
245,35000,35000,0.2204,0.2559,60,987.47,6,"$100,000+",16666.6667,0,Employed,Sales - Commission,80,41,UT,Eagle Mountain,1,12000,0,0,1,1,0,46,0,FALSE,3,700-719,0.2782,TRUE,0.2782,20416.6667,1,C
246,30000,30000,0.0969,0.1294,60,647.64,6,"$100,000+",9166.6667,0,Employed,Executive,40,3,AZ,Phoenix,2,30000,0,0,1,1,0,22,0,FALSE,6,760-779,0.1332,TRUE,0.1332,12500,0,AA
247,30000,30000,0.0804,0.1258,36,954.55,5,"$75,000-99,999",8253.1667,0,Employed,Executive,363,34,OR,Tillamook,3,62500,0,0,0,0,0,13,0,FALSE,6,760-779,0.2228,TRUE,0.2228,13225,0,AA
248,15000,15000,0.1564,0.2034,36,532.11,5,"$75,000-99,999",7083.3333,1,Self-employed,Other,18,8,FL,Key West,1,10000,0,0,0,0,0,4,0,FALSE,4,720-739,0.23,TRUE,0.23,15416.6667,1,C
249,28000,28000,0.1684,0.2026,60,708.58,4,"$50,000-74,999",4683.3333,0,Employed,Analyst,9,40,TX,Huntington,1,17000,0,0,0,0,0,27,0,FALSE,4,720-739,0.2433,TRUE,0.2433,8150,1,C
250,15800,15800,0.1439,0.1776,60,379.12,6,"$100,000+",11693.5833,0,Employed,Civil Service,241,40,TX,Temple,3,60000,19106.98,0,1,1,0,35,0,FALSE,3,700-719,0.2397,TRUE,0.2397,16597.0833,1,B
251,15000,15000,0.0964,0.1422,36,488.53,4,"$50,000-74,999",4166.6667,0,Employed,Self Employed,36,32,OH,MOUNT VERNON,1,20000,0,0,0,0,0,30,0,FALSE,4,720-739,0.217,TRUE,0.217,6541.6667,0,A
252,11000,11000,0.1003,0.1461,36,360.28,3,"$25,000-49,999",2916.6667,0,Employed,Nurse's Aide,6,8,FL,Ave Maria,1,2000,0,0,0,0,0,24,0,FALSE,4,720-739,0.2986,TRUE,0.2986,6250,0,A
253,22000,22000,0.053,0.0795,36,672.28,6,"$100,000+",8333.3333,0,Employed,Professional,4,16,LA,LAFAYETTE,1,20000,0,0,0,0,0,9,0,FALSE,8,800-819,0.1107,TRUE,0.1107,12916.6667,0,AA
254,2000,2000,0.053,0.0795,36,61.12,3,"$25,000-49,999",2507.75,0,Employed,Teacher's Aide,110,13,IN,ELKHART,1,2000,0,0,0,0,0,9,0,FALSE,9,820-850,0.0735,TRUE,0.0735,5117.25,0,AA
255,2000,2000,0.2064,0.2546,36,76.01,3,"$25,000-49,999",2866.6667,2,Other,Nurse (RN),19,27,NH,Jackson,2,27000,291.83,0,0,0,0,29,0,FALSE,3,700-719,0.4299,TRUE,0.4299,5941.6667,1,C
256,10000,10000,0.0804,0.1258,36,318.18,6,"$100,000+",10000,0,Employed,Other,170,40,TX,Eddy,2,40000,0,0,0,0,0,20,0,FALSE,6,760-779,0.2076,TRUE,0.2076,14166.6667,0,AA
257,15000,15000,0.0969,0.1427,36,488.88,4,"$50,000-74,999",5833.3333,0,Employed,Teacher,479,9,GA,Milledgeville,5,80000,0,0,0,0,0,2,0,FALSE,7,780-799,0.2276,TRUE,0.2276,12333.3333,0,A
258,25000,25000,0.0969,0.1294,60,539.7,6,"$100,000+",12083.3333,0,Employed,Professional,166,44,WI,Burlington,3,20000,0,0,0,0,0,6,0,FALSE,8,800-819,0.0562,TRUE,0.0562,15916.6667,0,AA
259,21000,21000,0.0909,0.1233,60,447.12,3,"$25,000-49,999",3300,0,Employed,Professional,26,5,CO,Wellington,2,24000,0,0,1,1,0,18,0,FALSE,6,760-779,0.1783,TRUE,0.1783,8550,0,A
260,35000,35000,0.0804,0.1258,36,1113.64,5,"$75,000-99,999",6250,0,Employed,Professional,53,9,GA,BUFORD,2,29500,0,0,1,1,0,0,0,FALSE,7,780-799,0.13,TRUE,0.13,9250,0,AA
261,25000,25000,0.1034,0.1493,36,822.5,5,"$75,000-99,999",6750,0,Employed,Clerical,376,2,AR,Winslow,2,30000,0,0,1,1,0,28,0,FALSE,7,780-799,0.5061,TRUE,0.5061,11500,0,A
262,10000,10000,0.0999,0.1325,60,217.37,3,"$25,000-49,999",3969.1667,0,Employed,Clerical,169,4,CA,SHASTA LAKE,2,15000,0,0,0,0,0,5,0,FALSE,5,740-759,0.1761,TRUE,0.1761,8143.8333,0,A
263,15000,15000,0.1279,0.1611,60,347.39,5,"$75,000-99,999",7083.3333,0,Employed,Other,11,8,FL,Harmony,2,13500,2548.68,0,0,0,0,24,0,FALSE,4,720-739,0.1293,TRUE,0.1293,12750,1,B
264,35000,35000,0.1279,0.1743,36,1192.65,6,"$100,000+",11333.3333,0,Employed,Analyst,56,20,MI,Clarkston,1,10000,0,0,0,0,0,14,0,FALSE,2,680-699,0.2878,TRUE,0.2878,20500,1,B
265,6000,6000,0.0969,0.1426,36,195.55,5,"$75,000-99,999",6333.3333,0,Employed,Nurse (RN),134,2,AR,Pocahontas,1,15000,0,0,1,1,0,21,0,FALSE,7,780-799,0.3129,TRUE,0.3129,18833.3333,0,A
266,4000,4000,0.0909,0.1233,60,85.17,4,"$50,000-74,999",5000,2,Other,Realtor,313,37,SC,SALEM,1,6500,0,0,0,0,0,9,0,FALSE,2,680-699,0.1047,TRUE,0.1047,10000,0,A
267,25000,25000,0.1379,0.1713,60,592,4,"$50,000-74,999",5373.3333,0,Employed,Skilled Labor,22,11,ID,Nampa,2,18000,0,0,0,0,0,32,0,FALSE,3,700-719,0.1959,TRUE,0.1959,8146.6667,1,B
268,20000,20000,0.2564,0.2929,60,606.41,3,"$25,000-49,999",3250,0,Employed,Laborer,188,15,KY,Russellville,2,17700,0,0,0,0,0,1,0,FALSE,1,660-679,0.1063,TRUE,0.1063,9000,2,D
269,15000,15000,0.0974,0.1431,36,489.24,4,"$50,000-74,999",5225,0,Employed,Skilled Labor,20,4,CA,CLOVIS,3,43500,0,0,8,8,0,32,0,FALSE,5,740-759,0.4567,TRUE,0.4567,8325,0,A
270,22000,22000,0.1684,0.2026,60,556.74,5,"$75,000-99,999",6333.3333,0,Employed,Social Worker,261,8,FL,DeBary,1,2500,0,0,0,0,0,18,0,FALSE,4,720-739,0.1996,TRUE,0.1996,11750,1,C
271,10000,10000,0.2264,0.275,36,390.44,4,"$50,000-74,999",5416.6667,0,Employed,Accountant/CPA,175,34,OR,Redmond,1,3000,0,0,0,0,0,1,0,FALSE,2,680-699,0.4531,TRUE,0.4531,12916.6667,2,D
272,15000,15000,0.0974,0.1432,36,489.24,4,"$50,000-74,999",5000,0,Employed,Other,116,4,CA,Moreno Valley,1,20000,0,0,0,0,0,4,0,FALSE,6,760-779,0.35,TRUE,0.35,15000,0,A
273,15000,15000,0.0969,0.1294,60,323.82,4,"$50,000-74,999",5000,0,Employed,Professional,13,13,IN,Shelbyville,1,11000,0,0,0,0,0,0,0,FALSE,6,760-779,0.1177,TRUE,0.1177,5750,0,AA
274,10000,10000,0.0969,0.1294,60,215.88,5,"$75,000-99,999",7083.3333,0,Employed,Nurse (RN),82,40,TX,San Diego,2,12000,0,0,0,0,0,3,0,FALSE,4,720-739,0.0767,TRUE,0.0767,17916.6667,0,A
275,35000,35000,0.1028,0.1355,60,765.88,5,"$75,000-99,999",7500,0,Employed,Analyst,6,35,PA,Coraopolis,1,30000,0,0,0,0,0,2,0,FALSE,5,740-759,0.0765,TRUE,0.0765,20416.6667,0,A
276,15000,15000,0.053,0.0795,36,458.37,6,"$100,000+",16666.6667,1,Self-employed,Realtor,182,4,CA,Santa Cruz,3,34800,0,0,1,1,0,13,0,FALSE,8,800-819,0.0767,TRUE,0.0767,20833.3333,0,AA
277,10000,10000,0.1489,0.1826,60,242.6,6,"$100,000+",12916.6667,0,Employed,Executive,17,4,CA,GLENDALE,2,20000,0,0,0,0,0,0,0,FALSE,4,720-739,0.0505,TRUE,0.0505,14500,1,B
278,15000,15000,0.1279,0.1611,60,347.39,5,"$75,000-99,999",7583.3333,0,Employed,Other,151,3,AZ,Gilbert,1,15000,0,0,0,0,0,8,0,FALSE,2,680-699,0.1249,TRUE,0.1249,13000,1,B
279,30500,30500,0.1249,0.1581,60,701.64,6,"$100,000+",10833,0,Employed,Other,173,16,LA,Lake Charles,1,28000,0,0,0,0,0,19,0,FALSE,5,740-759,0.3134,TRUE,0.3134,13333,1,B
280,25000,25000,0.0969,0.1294,60,539.7,3,"$25,000-49,999",4000,0,Employed,Skilled Labor,447,5,CO,Colorado Springs,1,7500,0,0,0,0,0,15,0,FALSE,7,780-799,0.2711,TRUE,0.2711,5691.6667,0,AA
281,12000,12000,0.1115,0.1443,60,267.84,4,"$50,000-74,999",4648.75,0,Employed,Fireman,50,41,UT,Hurricane,1,8900,0,0,0,0,0,24,0,FALSE,7,780-799,0.191,TRUE,0.191,6482.0833,0,A
282,15000,15000,0.1089,0.1417,60,332.83,4,"$50,000-74,999",5416.6667,0,Employed,Laborer,6,13,IN,Lafayette,2,45000,0,0,1,1,0,17,0,FALSE,5,740-759,0.0986,TRUE,0.0986,6500,0,A
283,20000,20000,0.0954,0.1411,36,650.43,5,"$75,000-99,999",7083.3333,0,Employed,Accountant/CPA,1,8,FL,Port St. Lucie,2,20000,0,0,1,1,0,30,0,FALSE,4,720-739,0.3025,TRUE,0.3025,19583.3333,0,AA
284,12000,12000,0.0969,0.1294,60,259.06,3,"$25,000-49,999",3750,0,Employed,Nurse (LPN),28,32,OH,Eastlake,4,29800,0,0,0,0,0,6,0,FALSE,8,800-819,0.0995,TRUE,0.0995,10000,0,AA
285,28000,28000,0.0969,0.1294,60,604.47,6,"$100,000+",8384.0833,0,Employed,Construction,78,18,MD,Bowie,2,13000,0,0,2,2,0,7,0,FALSE,4,720-739,0.1954,TRUE,0.1954,11798.3333,0,AA
286,23000,23000,0.0969,0.1294,60,496.53,6,"$100,000+",11250,0,Employed,Car Dealer,87,20,MI,Manitou Beach,25,482600,217258.58,0,0,0,0,7,1,FALSE,6,760-779,0.3369,TRUE,0.3369,14166.6667,0,AA
287,13000,13000,0.053,0.0795,36,397.25,6,"$100,000+",12125,0,Employed,Executive,77,17,MA,CHARLTON,2,38178,0,0,1,1,0,15,0,FALSE,7,780-799,0.1379,TRUE,0.1379,17958.3333,0,AA
288,5000,5000,0.1379,0.1713,60,118.4,5,"$75,000-99,999",6250,0,Employed,Scientist,109,37,SC,Liberty,2,28000,0,0,1,1,0,28,0,FALSE,4,720-739,0.2344,TRUE,0.2344,8666.6667,1,B
289,10000,10000,0.0999,0.1325,60,217.37,5,"$75,000-99,999",7916.6667,0,Employed,Accountant/CPA,19,30,NV,SPARKS,25,297200,157456.62,0,0,0,0,13,1,FALSE,7,780-799,0.2278,TRUE,0.2278,11666.6667,0,A
290,14000,14000,0.1279,0.1611,60,324.23,6,"$100,000+",8583.3333,0,Employed,Teacher,283,4,CA,Hughson,4,62000,13694.85,0,0,0,0,6,0,FALSE,5,740-759,0.3794,TRUE,0.3794,12250,1,B
291,24500,24500,0.1564,0.2035,36,869.11,4,"$50,000-74,999",5552.75,0,Employed,Other,146,5,CO,Thornton,2,13500,0,0,0,0,0,27,0,FALSE,3,700-719,0.3645,TRUE,0.3645,14136.0833,1,C
292,35000,35000,0.109,0.155,36,1160.83,4,"$50,000-74,999",5928.8333,0,Employed,Analyst,148,41,UT,Sandy,1,15000,0,0,1,1,0,30,0,FALSE,4,720-739,0.3806,TRUE,0.3806,13644.9167,0,A
293,30000,30000,0.0969,0.1294,60,647.64,6,"$100,000+",9583.3333,0,Employed,Professional,121,9,GA,Lilburn,3,31500,0,0,0,0,0,2,0,FALSE,6,760-779,0.1737,TRUE,0.1737,16666.6667,0,AA
294,10000,10000,0.0894,0.135,36,322.39,4,"$50,000-74,999",4375,0,Employed,Social Worker,54,9,GA,Fairburn,1,10500,0,0,0,0,0,26,0,FALSE,4,720-739,0.1345,TRUE,0.1345,7446,0,AA
295,20000,20000,0.1059,0.1386,60,440.76,3,"$25,000-49,999",3500,0,Employed,Other,125,17,MA,Gardner,2,28500,11150.51,0,0,0,0,6,0,FALSE,6,760-779,0.2058,TRUE,0.2058,7063.5833,0,A
296,4000,4000,0.2129,0.2612,36,153.36,3,"$25,000-49,999",2421.4167,0,Employed,Clerical,29,8,FL,Orlando,2,15000,0,0,1,1,0,26,0,FALSE,1,660-679,0.4367,TRUE,0.4367,8004.75,1,C
297,20000,20000,0.0804,0.1258,36,636.37,3,"$25,000-49,999",3725,0,Employed,Skilled Labor,277,18,MD,Frederick,7,47049,2979.71,0,259,218,5,17,1,FALSE,8,800-819,0.3079,TRUE,0.3079,9891.6667,0,AA
298,12300,12300,0.053,0.0794,36,375.86,4,"$50,000-74,999",5833.3333,0,Employed,Other,7,33,OK,Southwest Oklahoma City,2,60000,11300.66,0,0,0,0,6,0,FALSE,8,800-819,0.3127,TRUE,0.3127,11533.3333,0,AA
299,14000,14000,0.0969,0.1426,36,456.29,5,"$75,000-99,999",7500,0,Employed,Truck Driver,202,12,IL,LINCOLN,2,36000,0,0,3,3,0,0,0,FALSE,3,700-719,0.2355,TRUE,0.2355,9416.6667,0,A
300,15000,15000,0.0929,0.1253,60,320.85,4,"$50,000-74,999",5750,0,Employed,Administrative Assistant,299,29,NM,Las Cruces,3,57000,0,0,1,1,0,18,0,FALSE,5,740-759,0.1112,TRUE,0.1112,8333.3333,0,A
301,14000,14000,0.1279,0.1743,36,477.06,6,"$100,000+",11000,0,Employed,Professional,53,20,MI,DeWitt,3,70600,1708.33,0,15,15,0,49,0,FALSE,3,700-719,0.4693,TRUE,0.4693,14125,1,B
302,10000,10000,0.0959,0.1416,36,325.45,4,"$50,000-74,999",5416.6667,0,Employed,Teacher,356,9,GA,Milledgeville,4,70000,0,0,0,0,0,10,0,FALSE,9,820-850,0.2234,TRUE,0.2234,12083.3333,0,A
303,20000,20000,0.0969,0.1294,60,431.76,6,"$100,000+",11250,0,Employed,Executive,206,42,VA,Elkton,1,20000,0,0,0,0,0,25,0,FALSE,5,740-759,0.16,TRUE,0.16,19916.6667,0,AA
304,35000,35000,0.0954,0.1411,36,1138.25,6,"$100,000+",10000,0,Employed,Engineer - Mechanical,260,27,NH,Goffstown,1,35000,0,0,7,7,0,27,0,FALSE,6,760-779,0.332,TRUE,0.332,15541.6667,0,AA
305,35000,35000,0.0929,0.1254,60,748.65,6,"$100,000+",17500,0,Employed,Scientist,238,40,TX,Pearland,2,70000,0,0,1,1,0,26,0,FALSE,6,760-779,0.2334,TRUE,0.2334,23416.6667,0,A
306,35000,35000,0.1089,0.1417,60,776.61,6,"$100,000+",15000,0,Employed,Nurse (RN),46,4,CA,Stockton,1,19000,0,0,0,0,0,49,0,FALSE,5,740-759,0.0998,TRUE,0.0998,19166.6667,0,A
307,21000,21000,0.053,0.0795,36,641.72,5,"$75,000-99,999",6666.6667,0,Employed,Other,10,31,NY,Flushing,1,15000,0,0,0,0,0,5,0,FALSE,8,800-819,0.2236,TRUE,0.2236,16166.6667,0,AA
308,21600,21600,0.1834,0.2179,60,564.36,6,"$100,000+",13333.3333,0,Employed,Construction,3,40,TX,Rosharon,3,39000,13309.45,0,0,0,0,6,0,FALSE,3,700-719,0.33,TRUE,0.33,17500,1,C
309,15000,15000,0.1249,0.1713,36,508.96,4,"$50,000-74,999",4833.3333,0,Employed,Accountant/CPA,34,16,LA,NEW ORLEANS,1,7875,0,0,1,1,0,24,0,FALSE,2,680-699,0.1451,TRUE,0.1451,12500,1,B
310,35000,35000,0.1349,0.1683,60,823.31,6,"$100,000+",18833.3333,0,Employed,Scientist,199,8,FL,Loxahatchee,2,45000,0,0,1,1,0,7,0,FALSE,2,680-699,0.1855,TRUE,0.1855,25000,1,B
311,25000,25000,0.1064,0.1524,36,826.07,4,"$50,000-74,999",4333.3333,0,Employed,Food Service,2,3,AZ,Peoria,2,19500,0,0,1,1,0,34,0,FALSE,4,720-739,0.3817,TRUE,0.3817,13000,0,A
312,19500,19500,0.154,0.1878,60,478.36,4,"$50,000-74,999",5416.6667,0,Employed,Teacher,148,34,OR,Sublimity,3,23000,0,0,1,1,0,9,0,FALSE,1,660-679,0.0726,TRUE,0.0726,12083.3333,1,C
313,10000,10000,0.0804,0.1258,36,318.18,4,"$50,000-74,999",5000,0,Employed,Truck Driver,95,31,NY,Central Islip,3,19200,0,0,9,9,0,33,0,FALSE,5,740-759,0.1885,TRUE,0.1885,10083.3333,0,AA
314,20000,20000,0.235,0.2839,36,789.92,6,"$100,000+",10000,0,Employed,Architect,47,26,NE,Fremont,1,20000,0,0,1,1,0,12,0,FALSE,2,680-699,0.4862,TRUE,0.4862,11166.6667,2,D
315,6000,6000,0.2869,0.3242,60,192.98,3,"$25,000-49,999",3166.6667,0,Employed,Clerical,277,39,TN,HERMITAGE,1,5000,0,0,0,0,0,2,0,FALSE,0,640-659,0.1506,TRUE,0.1506,7083.3333,2,E
316,12000,12000,0.1059,0.1386,60,264.45,3,"$25,000-49,999",3519.5833,0,Employed,Construction,187,8,FL,Tampa,1,3500,0,0,0,0,0,36,0,FALSE,5,740-759,0.1267,TRUE,0.1267,6609.4167,0,A
317,7000,7000,0.053,0.0794,36,213.91,6,"$100,000+",13500,0,Employed,Pilot - Private/Commercial,45,1,AL,Dothan,4,101400,22967.54,0,1,1,0,35,0,FALSE,9,820-850,0.2877,TRUE,0.2877,15500,0,AA
318,8000,8000,0.0959,0.1416,36,260.36,5,"$75,000-99,999",7325,0,Employed,Nurse (LPN),56,21,MN,Becker,1,7500,0,0,0,0,0,35,0,FALSE,0,640-659,0.0841,TRUE,0.0841,11075,0,A
319,25000,25000,0.1628,0.1968,60,625.08,5,"$75,000-99,999",7916.6667,0,Employed,Nurse (RN),259,3,AZ,Glendale,1,17000,0,0,0,0,0,4,0,FALSE,0,640-659,0.25,TRUE,0.25,12583.3333,1,C
320,15000,15000,0.1379,0.1846,36,518.44,5,"$75,000-99,999",7472.5,0,Employed,Analyst,45,21,MN,Cold Spring,2,50000,8908.47,0,0,0,0,16,0,FALSE,2,680-699,0.4616,TRUE,0.4616,12055.8333,1,B
321,30000,30000,0.2129,0.2482,60,833.52,6,"$100,000+",8476.3333,0,Employed,Nurse (RN),119,40,TX,Kermit,1,25000,0,0,1,1,0,40,0,FALSE,4,720-739,0.3766,TRUE,0.3766,13367.25,1,C
322,10000,10000,0.1179,0.1641,36,335.93,4,"$50,000-74,999",5416.6667,0,Employed,Truck Driver,264,41,UT,West Jordan,4,68900,12729.19,0,2,2,0,20,0,FALSE,4,720-739,0.4092,TRUE,0.4092,9166.6667,1,B
323,15000,15000,0.053,0.0795,36,458.37,4,"$50,000-74,999",4833.3333,0,Employed,Clerical,54,44,WI,Brussels,1,20000,0,0,0,0,0,8,0,FALSE,7,780-799,0.22,TRUE,0.22,10416.6667,0,AA
324,35000,35000,0.0969,0.1294,60,755.59,6,"$100,000+",30416.6667,0,Employed,Executive,21,18,MD,La Plata,3,68400,0,0,1,1,0,33,0,FALSE,4,720-739,0.2071,TRUE,0.2071,36333.3333,0,AA
325,5000,5000,0.109,0.155,36,165.83,3,"$25,000-49,999",4000,0,Employed,Homemaker,256,4,CA,Montebello,1,4000,0,0,1,1,0,33,0,FALSE,1,660-679,0.1372,TRUE,0.1372,6100,0,A
326,25000,25000,0.053,0.0794,36,763.95,4,"$50,000-74,999",4583.3333,0,Employed,Nurse (RN),97,40,TX,FORT WORTH,1,15000,0,0,0,0,0,7,0,FALSE,9,820-850,0.4095,TRUE,0.4095,11916.6667,0,AA
327,14000,14000,0.1179,0.1509,60,317.04,5,"$75,000-99,999",7514,0,Employed,Professional,46,8,FL,MERRITT ISLAND,1,10000,0,0,0,0,0,27,0,FALSE,3,700-719,0.1353,TRUE,0.1353,10287.3333,1,B
328,20500,20500,0.0959,0.1416,36,667.17,6,"$100,000+",10000,0,Employed,Other,42,21,MN,East Bethel,2,40000,0,0,0,0,0,3,0,FALSE,1,660-679,0.1133,TRUE,0.1133,17106.6667,0,A
329,30000,30000,0.0804,0.1258,36,954.55,6,"$100,000+",8500,0,Employed,Accountant/CPA,119,20,MI,Canton,1,10000,0,0,0,0,0,35,0,FALSE,4,720-739,0.2876,TRUE,0.2876,13083.3333,0,AA
330,23000,23000,0.1219,0.1682,36,777.07,5,"$75,000-99,999",7516.6667,2,Other,Fireman,23,18,MD,La Plata,1,15000,0,0,1,1,0,35,0,FALSE,2,680-699,0.2759,TRUE,0.2759,11266.6667,1,B
331,14000,14000,0.053,0.0795,36,427.81,6,"$100,000+",11083.3333,1,Self-employed,Self Employed,263,40,TX,Spring,1,5000,0,0,0,0,0,34,0,FALSE,9,820-850,0.2438,TRUE,0.2438,12750,0,AA
332,35000,35000,0.1028,0.1355,60,765.88,6,"$100,000+",8333.3333,2,Other,Scientist,81,13,IN,Indianapolis,2,70000,0,0,1,1,0,34,0,FALSE,6,760-779,0.1294,TRUE,0.1294,23333.3333,0,A
333,12000,12000,0.0894,0.135,36,386.87,6,"$100,000+",10166.6667,0,Employed,Other,99,35,PA,Greencastle,1,20000,0,0,0,0,0,15,0,FALSE,4,720-739,0.2788,TRUE,0.2788,14500,0,AA
334,35000,35000,0.0969,0.1294,60,755.59,6,"$100,000+",21666.6667,0,Employed,Engineer - Electrical,147,28,NJ,DUNELLEN,1,25000,0,0,3,3,0,9,0,FALSE,7,780-799,0.09,TRUE,0.09,27500,0,AA
335,10000,10000,0.0969,0.1294,60,215.88,6,"$100,000+",8991.25,0,Employed,Professional,28,22,MO,COUNTRY CLUB,2,41000,0,0,0,0,0,13,0,FALSE,5,740-759,0.2573,TRUE,0.2573,14959.75,0,AA
336,17000,17000,0.0804,0.1258,36,540.91,4,"$50,000-74,999",4166.6667,0,Employed,Sales - Retail,6,1,AL,Butler,1,8000,0,0,0,0,0,30,0,FALSE,6,760-779,0.3167,TRUE,0.3167,7500,0,AA
337,20000,20000,0.1628,0.21,36,715.84,4,"$50,000-74,999",5026.6667,0,Employed,Tradesman - Mechanic,44,28,NJ,Blackwood,2,18500,4402.64,0,0,0,0,8,0,FALSE,2,680-699,0.1454,TRUE,0.1454,8753.3333,1,C
338,15000,15000,0.1179,0.1641,36,503.89,3,"$25,000-49,999",2416.6667,0,Employed,Food Service,36,37,SC,Simpsonville,1,19000,0,0,0,0,0,16,0,FALSE,6,760-779,0.2012,TRUE,0.2012,8141,1,B
